lambda test
1.000000000000000056e-01 3.641999816894531250e+01
8.912509381337455072e-02 5.950000000000000000e+01
7.943282347242813790e-02 7.811999511718750000e+01
7.079457843841380216e-02 8.404999542236328125e+01
6.309573444801933051e-02 7.938999938964843750e+01
5.623413251903491145e-02 7.619999694824218750e+01
5.011872336272722023e-02 7.470999908447265625e+01
4.466835921509629964e-02 7.747999572753906250e+01
3.981071705534973415e-02 7.487999725341796875e+01
3.548133892335755130e-02 7.647000122070312500e+01
3.162277660168379134e-02 7.836000061035156250e+01
2.818382931264453578e-02 7.808000183105468750e+01
2.511886431509579437e-02 7.948999786376953125e+01
2.238721138568339902e-02 7.870999908447265625e+01
1.995262314968879874e-02 7.940000152587890625e+01
1.778279410038922925e-02 7.991999816894531250e+01
1.584893192461113431e-02 8.050999450683593750e+01
1.412537544622754007e-02 8.043000030517578125e+01
1.000000000000000021e-02 8.045999908447265625e+01
8.912509381337458889e-03 8.063999938964843750e+01
7.943282347242813790e-03 8.093000030517578125e+01
3.162277660168379394e-03 8.486000061035156250e+01
2.818382931264454792e-03 8.470999908447265625e+01
2.511886431509579437e-03 8.422000122070312500e+01
2.238721138568339902e-03 8.345999908447265625e+01
1.995262314968878920e-03 8.475999450683593750e+01
1.778279410038922752e-03 8.430999755859375000e+01
1.584893192461114082e-03 8.454999542236328125e+01
1.412537544622753964e-03 8.511000061035156250e+01
1.258925411794167490e-03 8.511999511718750000e+01
1.122018454301963036e-03 8.447000122070312500e+01
1.000000000000000021e-03 8.465999603271484375e+01
